antecedents,antecedents_description,consequents,consequents_description,support,confidence,lift
22727,ALARM CLOCK BAKELIKE RED ,22725,ALARM CLOCK BAKELIKE CHOCOLATE,0.010849703060758336,0.3818897637795276,22.670012011210463
22727,ALARM CLOCK BAKELIKE RED ,22729,ALARM CLOCK BAKELIKE ORANGE,0.011534947464595706,0.3543307086614173,19.210648204578142
22727,ALARM CLOCK BAKELIKE RED ,20727,LUNCH BAG  BLACK SKULL.,0.0051964367291000456,0.11973684210526317,2.1222991689750694
22727,ALARM CLOCK BAKELIKE RED ,22730,ALARM CLOCK BAKELIKE IVORY,0.014504339881224303,0.5105263157894737,21.08570009930487
22727,ALARM CLOCK BAKELIKE RED ,20725,LUNCH BAG RED RETROSPOT,0.006110095934216537,0.14078947368421052,2.1876710409564284
22727,ALARM CLOCK BAKELIKE RED ,84879,ASSORTED COLOUR BIRD ORNAMENT,0.005881681132937414,0.1355263157894737,1.9860559348161198
22727,ALARM CLOCK BAKELIKE RED ,22726,ALARM CLOCK BAKELIKE GREEN,0.02461169483782549,0.7421052631578948,18.75288220551379
22564,ALPHABET STENCIL CRAFT,22563,HAPPY STENCIL CRAFT,0.005025125628140704,0.5906040268456376,46.172579098753594
82582,AREA PATROLLED METAL SIGN,21175,GIN + TONIC DIET METAL SIGN,0.005767473732297853,0.3126934984520124,9.344519701180275
82582,AREA PATROLLED METAL SIGN,21181,PLEASE ONE PERSON METAL SIGN,0.0051964367291000456,0.281733746130031,7.5670573040323665
82582,AREA PATROLLED METAL SIGN,85152,HAND OVER THE CHOCOLATE   SIGN ,0.006224303334856099,0.3374613003095976,10.843343653250775
84879,ASSORTED COLOUR BIRD ORNAMENT,21754,HOME BUILDING BLOCK WORD,0.006110095934216537,0.08953974895397489,2.58749188726404
84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.01256281407035176,0.18410041841004185,1.8412144644184198
84879,ASSORTED COLOUR BIRD ORNAMENT,22423,REGENCY CAKESTAND 3 TIER,0.009250799451804476,0.13556485355648534,1.6789333207080421
84879,ASSORTED COLOUR BIRD ORNAMENT,23298,SPOTTY BUNTING,0.007309273640931932,0.10711297071129706,2.1760584026638448
84879,ASSORTED COLOUR BIRD ORNAMENT,22470,HEART OF WICKER LARGE,0.005767473732297853,0.08451882845188284,2.008268282020858
84879,ASSORTED COLOUR BIRD ORNAMENT,20725,LUNCH BAG RED RETROSPOT,0.00553905893101873,0.08117154811715481,1.2612920591194456
84879,ASSORTED COLOUR BIRD ORNAMENT,22178,VICTORIAN GLASS HANGING T-LIGHT,0.006909547738693468,0.10125523012552301,2.3833085886534398
84879,ASSORTED COLOUR BIRD ORNAMENT,22457,NATURAL SLATE HEART CHALKBOARD ,0.005881681132937414,0.08619246861924686,1.6660071859384669
84879,ASSORTED COLOUR BIRD ORNAMENT,21136,PAINTED METAL PEARS ASSORTED,0.011363636363636364,0.16652719665271964,9.656371747623929
84879,ASSORTED COLOUR BIRD ORNAMENT,82482,WOODEN PICTURE FRAME WHITE FINISH,0.005767473732297853,0.08451882845188284,1.7230427518619003
84879,ASSORTED COLOUR BIRD ORNAMENT,47566,PARTY BUNTING,0.008965280950205573,0.1313807531380753,1.8101807623556054
84879,ASSORTED COLOUR BIRD ORNAMENT,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,0.005596162631338511,0.08200836820083682,1.4684361389908531
84879,ASSORTED COLOUR BIRD ORNAMENT,22726,ALARM CLOCK BAKELIKE GREEN,0.0053677478300593875,0.07866108786610877,1.987753204489606
84879,ASSORTED COLOUR BIRD ORNAMENT,22469,HEART OF WICKER SMALL,0.00548195523069895,0.0803347280334728,1.6207623932283128
84879,ASSORTED COLOUR BIRD ORNAMENT,22727,ALARM CLOCK BAKELIKE RED ,0.005881681132937414,0.08619246861924686,1.9860559348161198
22138,BAKING SET 9 PIECE RETROSPOT ,22617,BAKING SET SPACEBOY DESIGN,0.012277295568752854,0.32625189681335354,16.56035715071144
22138,BAKING SET 9 PIECE RETROSPOT ,22139,RETROSPOT TEA SET CERAMIC 11 PC ,0.008793969849246231,0.2336874051593323,6.3055991358246954
22617,BAKING SET SPACEBOY DESIGN,22138,BAKING SET 9 PIECE RETROSPOT ,0.012277295568752854,0.6231884057971013,16.56035715071144
21756,BATH BUILDING BLOCK WORD,21754,HOME BUILDING BLOCK WORD,0.006110095934216537,0.5349999999999999,15.460264026402637
82580,BATHROOM METAL SIGN,82578,KITCHEN METAL SIGN,0.007594792142530836,0.48756218905472637,43.34106119150441
82580,BATHROOM METAL SIGN,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0053677478300593875,0.23267326732673266,2.326998433709733
82580,BATHROOM METAL SIGN,82581,TOILET METAL SIGN,0.011477843764275925,0.736842105263158,44.4950998185118
21165,BEWARE OF THE CAT METAL SIGN ,85152,HAND OVER THE CHOCOLATE   SIGN ,0.00633851073549566,0.36633663366336633,11.771169043509856
21165,BEWARE OF THE CAT METAL SIGN ,21166,COOK WITH WINE METAL SIGN ,0.005710370031978072,0.33003300330033003,10.451244039412982
21165,BEWARE OF THE CAT METAL SIGN ,21175,GIN + TONIC DIET METAL SIGN,0.006395614435815441,0.36963696369636967,11.046215884387074
21165,BEWARE OF THE CAT METAL SIGN ,21181,PLEASE ONE PERSON METAL SIGN,0.00628140703517588,0.36303630363036304,9.750754216525948
23247,BISCUIT TIN 50'S CHRISTMAS,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,0.0053677478300593875,0.42152466367713,8.31277016927241
85014A,BLACK/BLUE POLKADOT UMBRELLA,85014B,RED RETROSPOT UMBRELLA,0.005824577432617634,0.5177664974619289,40.120030546696015
22192,BLUE DINER WALL CLOCK,22193,RED DINER WALL CLOCK,0.008508451347647328,0.5498154981549815,26.022618928891994
22192,BLUE DINER WALL CLOCK,22191,IVORY DINER WALL CLOCK,0.007423481041571494,0.4797047970479704,24.491517218379176
47590A,BLUE HAPPY BIRTHDAY BUNTING,47590B,PINK HAPPY BIRTHDAY BUNTING,0.01027866605756053,0.6617647058823529,40.52036199095022
21914,BLUE HARMONICA IN BOX ,21790,VINTAGE SNAP CARDS,0.005424851530379168,0.24050632911392403,6.80411443528762
21914,BLUE HARMONICA IN BOX ,21915,RED  HARMONICA IN BOX ,0.010792599360438556,0.4784810126582278,19.71566939687267
20675,BLUE POLKADOT BOWL,21238,RED RETROSPOT CUP,0.005139333028780265,0.40909090909090906,30.22784810126582
20675,BLUE POLKADOT BOWL,21239,PINK  POLKADOT CUP,0.005139333028780265,0.40909090909090906,36.738461538461536
20675,BLUE POLKADOT BOWL,20677,PINK POLKADOT BOWL,0.007594792142530836,0.6045454545454545,49.70328638497652
20675,BLUE POLKADOT BOWL,20676,RED RETROSPOT BOWL,0.00548195523069895,0.4363636363636364,29.618604651162794
20675,BLUE POLKADOT BOWL,21244,BLUE POLKADOT PLATE ,0.005139333028780265,0.40909090909090906,56.40944881889763
20675,BLUE POLKADOT BOWL,21240,BLUE POLKADOT CUP,0.005938784833257195,0.4727272727272727,42.672164948453606
21240,BLUE POLKADOT CUP,20675,BLUE POLKADOT BOWL,0.005938784833257195,0.5360824742268041,42.672164948453606
21240,BLUE POLKADOT CUP,21238,RED RETROSPOT CUP,0.005881681132937414,0.5309278350515464,39.23041454608726
21240,BLUE POLKADOT CUP,21239,PINK  POLKADOT CUP,0.006852444038373686,0.6185567010309277,55.54956383822362
21244,BLUE POLKADOT PLATE ,20675,BLUE POLKADOT BOWL,0.005139333028780265,0.7086614173228346,56.40944881889763
21499,BLUE POLKADOT WRAP,21500,PINK POLKADOT WRAP ,0.0051964367291000456,0.5481927710843373,60.37705539137682
21670,BLUE SPOT CERAMIC DRAWER KNOB,21669,BLUE STRIPE CERAMIC DRAWER KNOB,0.007994518044769302,0.6962962962962962,45.69439426523298
21670,BLUE SPOT CERAMIC DRAWER KNOB,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,0.007880310644129739,0.6499999999999999,48.88051511402925
21670,BLUE SPOT CERAMIC DRAWER KNOB,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,0.006738236637734125,0.6052631578947368,41.24690220174091
21670,BLUE SPOT CERAMIC DRAWER KNOB,21671,RED SPOT CERAMIC DRAWER KNOB,0.00867976244860667,0.7796610169491526,52.11230430844871
21670,BLUE SPOT CERAMIC DRAWER KNOB,21668,RED STRIPE CERAMIC DRAWER KNOB,0.007708999543170398,0.6714285714285713,40.972919155714855
21669,BLUE STRIPE CERAMIC DRAWER KNOB,21668,RED STRIPE CERAMIC DRAWER KNOB,0.00867976244860667,0.736,43.839564625850336
21669,BLUE STRIPE CERAMIC DRAWER KNOB,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,0.007309273640931932,0.6499999999999999,44.81417322834645
21669,BLUE STRIPE CERAMIC DRAWER KNOB,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,0.006795340338053906,0.39932885906040266,25.615556702805023
21669,BLUE STRIPE CERAMIC DRAWER KNOB,21671,RED SPOT CERAMIC DRAWER KNOB,0.00713796253997259,0.6499999999999999,43.44580152671755
21669,BLUE STRIPE CERAMIC DRAWER KNOB,21670,BLUE SPOT CERAMIC DRAWER KNOB,0.007994518044769302,0.728,45.69439426523298
84692,BOX OF 24 COCKTAIL PARASOLS,47566,PARTY BUNTING,0.005139333028780265,0.24258760107816713,3.3424028875537863
84692,BOX OF 24 COCKTAIL PARASOLS,22423,REGENCY CAKESTAND 3 TIER,0.0061671996345363175,0.2911051212938005,3.605256636560845
84692,BOX OF 24 COCKTAIL PARASOLS,21212,PACK OF 72 RETROSPOT CAKE CASES,0.005596162631338511,0.26415094339622647,5.480819100420282
23319,BOX OF 6 MINI 50'S CRACKERS,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,0.007480584741891274,0.4323432343234323,8.526120179585526
23319,BOX OF 6 MINI 50'S CRACKERS,23318,BOX OF 6 MINI VINTAGE CRACKERS,0.006966651439013248,0.4026402640264027,25.182272512965582
23318,BOX OF 6 MINI VINTAGE CRACKERS,23319,BOX OF 6 MINI 50'S CRACKERS,0.006966651439013248,0.43571428571428567,25.18227251296558
23318,BOX OF 6 MINI VINTAGE CRACKERS,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0061671996345363175,0.3857142857142856,10.296689895470381
23318,BOX OF 6 MINI VINTAGE CRACKERS,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,0.005082229328460484,0.31785714285714284,6.2683719433719425
23318,BOX OF 6 MINI VINTAGE CRACKERS,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.005310644129739607,0.3321428571428571,13.948406988694757
22804,CANDLEHOLDER PINK HANGING HEART,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.011192325262677022,0.7377049180327868,13.898412698412699
22804,CANDLEHOLDER PINK HANGING HEART,21733,RED HANGING HEART T-LIGHT HOLDER,0.006966651439013248,0.4591836734693877,13.898412698412699
22645,CERAMIC HEART FAIRY CAKE MONEY BANK,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,0.006395614435815441,0.43410852713178294,28.26062649491369
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,0.006395614435815441,0.4163568773234201,28.26062649491369
23204,CHARLOTTE BAG APPLES DESIGN,20728,LUNCH BAG CARS BLUE,0.005824577432617634,0.2897727272727273,5.701685393258427
23204,CHARLOTTE BAG APPLES DESIGN,20727,LUNCH BAG  BLACK SKULL.,0.006395614435815441,0.3181818181818182,5.6396761133603235
23204,CHARLOTTE BAG APPLES DESIGN,23199,JUMBO BAG APPLES,0.00548195523069895,0.27272727272727276,7.593004769475359
23204,CHARLOTTE BAG APPLES DESIGN,23206,LUNCH BAG APPLE DESIGN,0.009022384650525354,0.44886363636363635,10.45279255319149
23204,CHARLOTTE BAG APPLES DESIGN,20719,WOODLAND CHARLOTTE BAG,0.008508451347647328,0.6322580645161291,26.362150537634413
23204,CHARLOTTE BAG APPLES DESIGN,47566,PARTY BUNTING,0.005310644129739607,0.2642045454545454,3.640243902439024
23204,CHARLOTTE BAG APPLES DESIGN,20725,LUNCH BAG RED RETROSPOT,0.006681132937414344,0.33238636363636365,5.1648181011535055
23204,CHARLOTTE BAG APPLES DESIGN,23205,CHARLOTTE BAG VINTAGE ALPHABET ,0.008851073549566012,0.5806451612903226,31.775806451612908
23204,CHARLOTTE BAG APPLES DESIGN,20723,STRAWBERRY CHARLOTTE BAG,0.008851073549566012,0.6811594202898551,31.755319148936167
23204,CHARLOTTE BAG APPLES DESIGN,23208,LUNCH BAG VINTAGE LEAF DESIGN,0.006738236637734125,0.3352272727272727,11.181904761904761
23204,CHARLOTTE BAG APPLES DESIGN,22355,CHARLOTTE BAG SUKI DESIGN,0.009536317953403381,0.6594202898550725,31.385906040268452
23204,CHARLOTTE BAG APPLES DESIGN,20724,RED RETROSPOT CHARLOTTE BAG,0.009936043855641846,0.7898550724637682,30.17096774193548
23204,CHARLOTTE BAG APPLES DESIGN,23207,LUNCH BAG ALPHABET DESIGN,0.005653266331658292,0.28125,8.390545144804088
23204,CHARLOTTE BAG APPLES DESIGN,85099B,JUMBO BAG RED RETROSPOT,0.00553905893101873,0.2755681818181818,3.183212401055409
23204,CHARLOTTE BAG APPLES DESIGN,22356,CHARLOTTE BAG PINK POLKADOT,0.007880310644129739,0.6264367816091955,23.744937055281884
23204,CHARLOTTE BAG APPLES DESIGN,22382,LUNCH BAG SPACEBOY DESIGN ,0.005824577432617634,0.2897727272727273,5.962984723854289
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20723,STRAWBERRY CHARLOTTE BAG,0.005995888533576976,0.42510121457489874,15.412779440239394
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20724,RED RETROSPOT CHARLOTTE BAG,0.006738236637734125,0.47773279352226716,13.471910918135173
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,22356,CHARLOTTE BAG PINK POLKADOT,0.0061671996345363175,0.437246963562753,16.573742047426258
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,22355,CHARLOTTE BAG SUKI DESIGN,0.006795340338053906,0.48178137651821856,15.595111766334645
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20719,WOODLAND CHARLOTTE BAG,0.005653266331658292,0.4008097165991903,16.711856564488144
22356,CHARLOTTE BAG PINK POLKADOT,23205,CHARLOTTE BAG VINTAGE ALPHABET ,0.007366377341251713,0.44444444444444453,25.807497467071933
22356,CHARLOTTE BAG PINK POLKADOT,20724,RED RETROSPOT CHARLOTTE BAG,0.016274554591137507,0.8512396694214875,36.0464720435428
22356,CHARLOTTE BAG PINK POLKADOT,22382,LUNCH BAG SPACEBOY DESIGN ,0.007252169940612152,0.3508771929824561,22.562358276643987
22356,CHARLOTTE BAG PINK POLKADOT,22386,JUMBO BAG PINK POLKADOT,0.0061671996345363175,0.23376623376623376,4.553631018592086
22356,CHARLOTTE BAG PINK POLKADOT,20728,LUNCH BAG CARS BLUE,0.008965280950205573,0.6168831168831168,24.914927768860352
22356,CHARLOTTE BAG PINK POLKADOT,22355,CHARLOTTE BAG SUKI DESIGN,0.012277295568752854,0.7520661157024793,37.05166240409207
22356,CHARLOTTE BAG PINK POLKADOT,22384,LUNCH BAG PINK POLKADOT,0.007480584741891274,0.34035087719298246,24.031123560535327
22356,CHARLOTTE BAG PINK POLKADOT,20723,STRAWBERRY CHARLOTTE BAG,0.012334399269072635,0.744186046511628,37.05166240409207
